ABC command line: "read /home/andrew/rust-formal-verification/tests/examples/hwmcc20/2019/mann/data-integrity/unsafe/arbitrated_top_n5_w8_d32_e0_zero_then_fold2.aig ; pdr -v".

VarMax = 300. FrameMax = 10000. QueMax = 0. TimeMax = 0. MonoCNF = no. SkipGen = no. SolveAll = no.
Frame Clauses                                                     Max Queue Flops Cex      Time
  1 : 0 24                                                                1    24      0.02 sec
  2 : 0 20 44                                                             5    46      0.04 sec
  3 : 0 26 35 68                                                          9    80      0.12 sec
  4 : 0 18 26 44 86                                                       4    93      0.19 sec
  5 : 0 18 25 32 57 95                                                    5    93      0.29 sec
  6 : 0 18 25 33 54 92 125                                                7   102      0.50 sec
  7 : 0 18 29 47 78 107 168 159                                          33   111      0.92 sec
  8 : 0 18 27 36 56 84 134 264 214                                       11   118      1.53 sec
  9 : 0 18 27 36 56 79 127 243 450 392                                   14   127      2.86 sec
 10 : 0 18 27 36 56 81 125 217 401 614 365                               18   134      4.37 sec
 11 : 0 18 27 39 57 90 133 222 426 574 750 477                           55   142      6.85 sec
 12 : 0 18 27 39 54 82 119 193 361 539 697 954 631                       43   150     10.21 sec
 13 : 0 18 27 39 54 81 118 186 349 517 704 1032 1363 956                 35   158     16.14 sec
 14 : 0 18 27 39 54 81 117 186 344 494 640 833 1190 1402 631             64   166     20.52 sec
 15 : ... 18 27 39 54 81 117 184 339 469 607 817 1103 1290 1700 1227     80   173     29.19 sec
 16 : ... 39 54 81 117 183 332 451 584 773 1013 1225 1683 2290 1286      48   181     40.67 sec
 17 : ... 54 81 117 183 332 441 579 768 975 1129 1614 2163 2272 1336     64   188     52.37 sec
 18 : ... 117 183 331 439 582 779 1026 1216 1791 2312 3022 3647 2943    104   196     88.99 sec
 19 : ... 193 361 479 652 840 1203 1461 2142 2596 3200 3853 4808 2239   499   204    131.50 sec
 20 : ... 314 380 507 620 926 1069 1542 1702 2745 3557 5042 5867 2877   143   212    188.77 sec
 21 : ... 347 493 553 850 980 1526 1694 2690 3016 4671 5916 5786 2895   297   220    245.50 sec
 22 : ... 513 761 931 1524 1728 2840 3006 4762 5592 6433 6378 3749      520   228    340.74 sec
 23 : ... 622 683 1097 1201 2427 2331 3724 4322 4972 4606 4605 2566      76   236    378.87 sec
 24 : ... 682 1089 1197 2400 2260 3645 4320 5210 5221 5595 5430 3026    197   245    446.20 sec
 25 : ... 1082 1169 2357 2144 3470 4213 5114 5220 6438 6602 7709 5002   245   253    574.14 sec
slurmstepd-thanos7_1: error: *** JOB 75193 ON thanos7_1 CANCELLED AT 2022-12-27T15:11:55 DUE TO TIME LIMIT ***
